bank_ref_no,value_date,txn_date,narration,utr_number,credit_inr,debit_inr,balance_inr,gateway_ref_hint
BNK3061335,2026-08-10,2026-08-10,RAZORPAY SETTLEMENTS 406511250875,406511250875,67006.89,0.0,16359879.14,pay_FM6MO410Z5MHH8
BNK4073686,2026-08-10,2026-08-10,NEFT-934421929457-AmitGupta-REF6-0056,934421929457,68958.88,0.0,8761897.4,pay_GJGD3AWM4BGUS6
BNK7917623,2026-08-11,2026-08-11,NEFT-707701331659-RahulVerma-REF6-0248,707701331659,9347.5,0.0,21620448.55,pay_SP5HK7UXXJVFT8
BNK4285679,2026-08-11,2026-08-11,IMPS/668468408170/NehaSinghania/SETTLE,668468408170,41484.86,0.0,18119180.92,pay_8JK1MKP8DYZAXF
BNK1653369,2026-08-11,2026-08-11,NEFT-447172585188-RohanSharma-REF6-0075,447172585188,44177.25,0.0,10097964.17,pay_XQ2U9FAPKAQG1M
BNK8052672,2026-08-11,2026-08-11,NEFT-420599715040-MeeraAgarwal-REF6-0088,420599715040,33351.59,0.0,11033767.93,pay_7M8W6SILS5VV8B
BNK9002119,2026-08-11,2026-08-11,INB CREDIT MeeraAgarwal 530919746782,530919746782,128542.35,0.0,10442020.88,pay_OM6J4MG5G93AOA
BNK9275949,2026-08-11,2026-08-11,NEFT-119546226654-MeeraAgarwal-REF6-0227,119546226654,145901.34,0.0,20600293.01,pay_SVUUPGQBGQXLFF
BNK5160606,2026-08-12,2026-08-12,UPI/649511562794/MeeraAgarwal/RAZORPAY,649511562794,108401.41,0.0,16468280.55,pay_WRXDNX8AM0EY7G
BNK7147287,2026-08-12,2026-08-12,NEFT-230919734580-PriyaNair-REF6-0121,230919734580,32627.79,0.0,13224150.68,pay_WL0GDAE5NZ0V58
BNK7842025,2026-08-12,2026-08-12,IMPS/323464375888/SureshPillai/SETTLE,323464375888,61270.2,0.0,10232165.51,pay_UNW9KM077XU39D
BNK9608593,2026-08-12,2026-08-12,UPI/307647921108/RohanSharma/RAZORPAY,307647921108,9804.46,0.0,21018433.55,pay_DFWMSPJN2RN4TD
BNK6657774,2026-08-12,2026-08-12,NEFT-519091175931-PriyaNair-REF6-0090,519091175931,42747.66,0.0,11107191.75,pay_6I4ASG8OOQY0OD
BNK5081305,2026-08-12,2026-08-12,CR-RAZORPAY-102485372884-6-0206,102485372884,57768.03,0.0,19274731.46,pay_JSRZMOBERAY51Q
BNK4537712,2026-08-13,2026-08-13,INB CREDIT DeepikaRao 171238360663,171238360663,81163.78,0.0,12079863.28,pay_YI0VSSG3LB1JC7
BNK2833445,2026-08-13,2026-08-13,RAZORPAY SETTLEMENTS 707215817567,707215817567,79916.25,0.0,18868951.07,pay_UYSLY9FSOG6R49
BNK3797718,2026-08-13,2026-08-13,CR-RAZORPAY-356018352347,356018352347,17589.97,0.0,6214624.26,pay_HZ7YZUGAQD8L30
BNK6759009,2026-08-13,2026-08-13,RTGS/582116955997/RAZORPAYPAYMENTS/SETTLE,582116955997,73681.93,0.0,8835579.33,pay_91KZKTTIY85L6E
BNK4100014,2026-08-13,2026-08-13,INB CREDIT KavithaReddy 663453861935,663453861935,102976.89,0.0,15043802.45,pay_2AR5AEKVGSNB1V
BNK2893296,2026-08-13,2026-08-13,INB CREDIT RahulVerma 191501236359,191501236359,86468.06,0.0,13704092.05,pay_KOKQUB7X0PV0T7
BNK4895430,2026-08-13,2026-08-13,CR-RAZORPAY-521058701732,521058701732,908.94,0.0,19504731.22,pay_7NG3J0SONF0JUH
BNK5039805,2026-08-13,2026-08-13,RTGS/639336981677/RAZORPAYPAYMENTS/SETTLE,639336981677,68786.25,0.0,10170895.31,pay_G37AGXLS6F61X0
BNK8200961,2026-08-13,2026-08-13,UPI/PAY/66097441/RP...,660974411362,32226.54,0.0,17310320.87,pay_BKX6PG278NUW28
BNK2445313,2026-08-14,2026-08-14,RTGS/628909667044/RAZORPAYPAYMENTS/SETTLE,628909667044,78043.77,0.0,12157907.05,pay_PYJTJ744V1N8M2
BNK9716360,2026-08-15,2026-08-15,INB CREDIT RahulVerma 877299134023,877299134023,94614.2,0.0,21324978.57,pay_NZC2DEN1XVMZIU
BNK5673411,2026-08-15,2026-08-15,CR-RAZORPAY-862057728831-6-0041,862057728831,120167.34,0.0,7585902.23,pay_HF75MMAZZC0Y5X
BNK2766737,2026-08-16,2026-08-16,RAZORPAY SETTLEMENTS 110299959456,110299959456,139875.02,0.0,18550181.35,pay_SX2YZTD1S8K4QJ
BNK3308666,2026-08-16,2026-08-16,CR-RAZORPAY-961215477464-6-0037,961215477464,143360.57,0.0,7310913.29,pay_B539SXR8W94SUR
BNK6923111,2026-08-16,2026-08-16,IMPS/658506284707/KavithaReddy/SETTLE,658506284707,98882.58,0.0,7167552.72,pay_LW00CI6SUN8ZUV
BNK2576070,2026-08-16,2026-08-16,RAZORPAY SETTLEMENTS 402823270879,402823270879,81313.02,0.0,10313478.53,pay_DDGNXXO6IZJ0QK
BNK8592746,2026-08-17,2026-08-17,UPI/272970875189/NehaSinghania/RAZORPAY,272970875189,118894.34,0.0,13822986.39,pay_SK1CIZ22SSD9QR
BNK2599757,2026-08-17,2026-08-17,NEFT-473149508994-Priya ,473149508994,125826.59,0.0,8587459.52,pay_BQ0A28ZPXHD2T0
BNK8969685,2026-08-17,2026-08-17,IMPS/361431961337/ManishTiwari/SETTLE,361431961337,7607.73,0.0,9858701.36,pay_R0YQE8TNUIAWYA
BNK2015211,2026-08-17,2026-08-17,IMPS/399063549695/RahulVerma/SETTLE,399063549695,141399.2,0.0,9800129.87,pay_L83OKMZ825EQ5I
BNK7818732,2026-08-18,2026-08-18,RTGS/658959171545/RAZORPAYPAYMENTS/SETTLE,658959171545,107032.11,0.0,17533954.39,pay_5X7A5X5UVFTWR8
BNK1440688,2026-08-18,2026-08-18,CR-RAZORPAY-597158468760-6-0050,597158468760,123023.51,0.0,8242392.3,pay_SGTMH8PROJWBSB
BNK2609833,2026-08-18,2026-08-18,CR-RAZORPAY-963534530904-6-0143,963534530904,116857.21,0.0,14940825.56,pay_EOJZSVAX4FA3MN
BNK8250825,2026-08-18,2026-08-18,CR-RAZORPAY-747183903818-6-0216,747183903818,11026.87,0.0,19823644.13,pay_6Z63Y4K88JFYWR
BNK5120893,2026-08-18,2026-08-18,UPI/803868330966/RekhaMenon/RAZORPAY,803868330966,12431.65,0.0,17078106.9,pay_3DRX2KD88HU3U8
BNK5162862,2026-08-19,2026-08-19,IMPS CREDIT 35812676,358126769959,73105.39,0.0,7723262.66,pay_GZZ3PX53AWMHQ3
BNK5543507,2026-08-19,2026-08-19,INB CREDIT PoojaIyer 186452559013,186452559013,61357.9,0.0,9016457.8,pay_MEL3D1R3QJR7ZB
BNK3617895,2026-08-19,2026-08-19,INB CREDIT LakshmiNarayanan 887148169516,887148169516,4130.68,0.0,6549576.07,pay_ZPJRJ3WFX2A12H
BNK4951387,2026-08-20,2026-08-20,...RPAY SETTLEMENTS 262725,337693262725,38670.56,0.0,16679240.47,pay_ZMJ6SA03IYCNFZ
BNK8977670,2026-08-21,2026-08-21,INB CREDIT ManishTiwari 223659117343,223659117343,114137.25,0.0,5958056.69,pay_R3A6EHBE7BXGWL
BNK2519446,2026-08-21,2026-08-21,CR-RAZORPAY-649936770402-6-0130,649936770402,75270.02,0.0,13898256.41,pay_GWT4VWG8VCPFA3
BNK5337062,2026-08-21,2026-08-21,UPI/973859595657/RohanSharma/RAZORPAY,973859595657,36504.5,0.0,5391955.85,pay_RLWZKO9XKDKK8X
BNK5169058,2026-08-21,2026-08-21,RAZORPAY SETTLEMENTS 241243831130,241243831130,1588.08,0.0,20601881.09,pay_TXY6AX76NOCNHB
BNK8241816,2026-08-21,2026-08-21,NEFT-174447937808-SunitaKapoor-REF6-0229,174447937808,12668.87,0.0,20614549.96,pay_KJSQ446E8LTL29
BNK7305022,2026-08-21,2026-08-21,RTGS/872521763176/RAZORPAYPAYMENTS/SETTLE,872521763176,36169.61,0.0,18586350.96,pay_G6XWDJYZAZP0GZ
BNK1461595,2026-08-22,2026-08-22,IMPS/887629624478/AdityaSrivastava/SETTLE,887629624478,4144.89,0.0,10102109.06,pay_HTQ4T1T1KJL9U9
BNK1015514,2026-08-22,2026-08-22,NEFT-868135485034-RohanSharma-REF6-0219,868135485034,128341.69,0.0,20036387.55,pay_LIW1ECIEZ6FG2S
BNK2016973,2026-08-22,2026-08-22,CR-RAZORPAY-578804980820-6-0149,578804980820,137429.43,0.0,15303203.81,pay_PPXJM885Z8D7OT
BNK7767710,2026-08-22,2026-08-22,UPI/870813720101/SureshPillai/RAZORPAY,870813720101,124921.07,0.0,16059643.18,pay_9WPY97FY21OEW5
BNK3612262,2026-08-22,2026-08-22,UPI/983824530600/PoojaIyer/RAZORPAY,983824530600,48697.68,0.0,20222621.71,pay_FJEHP873I8SV40
BNK7209888,2026-08-23,2026-08-23,UPI/725141090821/DineshChoudhary/RAZORPAY,725141090821,123901.13,0.0,16183544.31,pay_EGK84BLJ57QVLL
BNK7277700,2026-08-23,2026-08-23,RAZORPAY SETTLEMENTS 525649044589,525649044589,119126.02,0.0,9463805.25,pay_73B63XOJXCZ147
BNK4124180,2026-08-23,2026-08-23,UPI/447669727410/AmitGupta/RAZORPAY,447669727410,50963.76,0.0,9851093.63,pay_WO7HZL5ECD38SD
BNK3198184,2026-08-23,2026-08-23,RAZORPAY SETTLEMENTS 327776695447,327776695447,14088.08,0.0,7950559.49,pay_GDCQUPRHBBKT5Z
BNK8430450,2026-08-23,2026-08-23,UPI/983017664572/AdityaSrivastava/RAZORPAY,983017664572,80458.37,0.0,20173924.03,pay_AQ6C7LFVW2CI1P
BNK8351811,2026-08-24,2026-08-24,RAZORPAY SETTLEMENTS 754400641176,754400641176,60208.3,0.0,17604691.25,pay_2ACQDKVPGQM8NZ
BNK5773729,2026-08-24,2026-08-24,CR-RAZORPAY-488479487604-6-0132,488479487604,142982.73,0.0,14060195.28,pay_34F7XL3P1GU4AA
BNK6825141,2026-08-24,2026-08-24,INB CREDIT SanjayBhat 754418619279,754418619279,35536.55,0.0,20772041.49,pay_00J4LV7GTCNP8M
BNK7632543,2026-08-24,2026-08-24,RTGS/918234478581/RAZORPAYPAYMENTS/SETTLE,918234478581,140704.52,0.0,5199534.33,pay_MBNJ1L4YYA10VU
BNK1920573,2026-08-25,2026-08-25,RAZORPAY SETTLEMENTS 252446671971,252446671971,140878.11,0.0,10875068.14,pay_NQE2X2UGLSRCJ5
BNK2512998,2026-08-26,2026-08-26,NEFT-514665208798-Rekha ,514665208798,120594.44,0.0,13191522.89,pay_Z6J01Z8SEAL29Y
BNK4798470,2026-08-26,2026-08-26,INB CREDIT NehaSinghania 656587696223,656587696223,52090.28,0.0,16520370.83,pay_0ROM8BCK5JGECF
BNK9904606,2026-08-26,2026-08-26,UPI/801966726312/VikramJoshi/RAZORPAY,801966726312,56973.12,0.0,21381951.69,pay_NJD2VQWOW2TRJO
BNK2299931,2026-08-27,2026-08-27,UPI/480341549285/RekhaMenon/RAZORPAY,480341549285,20327.79,0.0,6529437.75,pay_ME5LDYNKEUO6A5
